unique_student_id,schlyear,exgrade,exam_name
2663,2015,46,Math exam
802,2014,79,English exam
802,2014,81,English exam
802,2014,58,Math exam
802,2015,54,Math exam
802,2015,55,Math exam
1515,2015,88,English exam
3586,2014,91,English exam
3586,2015,89,Math exam
612,2014,98,English exam
612,2014,95,Math exam
612,2015,96,English exam
1606,2015,82,English exam
2061,2014,55,Math exam
2061,2014,69,Math exam
2061,2015,74,English exam
837,2015,83,English exam
837,2015,94,Math exam
869,2015,52,Math exam
869,2016,85,English exam
869,2016,47,Math exam
3453,2015,92,English exam
2587,2015,92,English exam
2587,2015,37,Math exam
576,2014,86,Math exam
576,2015,87,English exam
3656,2015,58,Math exam
3656,2016,85,English exam
3656,2016,79,Math exam
1318,2016,88,English exam
526,2015,89,English exam
526,2015,65,Math exam
2623,2015,93,English exam
2623,2015,88,Math exam
900,2015,65,English exam
998,2014,72,Math exam
998,2015,96,English exam
1471,2014,95,Math exam
1471,2015,86,English exam
762,2014,67,Math exam
762,2015,87,English exam
2696,2012,94,English exam
2696,2012,94,English exam
2696,2014,63,Math exam
2696,2014,77,Math exam
2140,2014,97,Math exam
2140,2015,93,English exam
1848,2016,85,English exam
559,2015,89,English exam
559,2015,59,Math exam
559,2016,58,Math exam
505,2014,78,English exam
505,2014,85,English exam
505,2015,60,Math exam
505,2015,52,Math exam
2672,2015,87,English exam
2672,2015,74,English exam
2672,2015,42,Math exam
2863,2015,86,English exam
2645,2015,89,English exam
896,2015,89,English exam
2345,2015,81,English exam
2830,2015,90,English exam
2097,2015,70,English exam
2097,2015,33,Math exam
2069,2014,78,English exam
2069,2015,54,Math exam
2069,2015,38,Math exam
3264,2014,85,English exam
3264,2014,82,English exam
3264,2014,69,Math exam
876,2015,87,English exam
3010,2016,95,English exam
1111,2016,89,English exam
629,2014,86,Math exam
629,2015,82,English exam
1898,2015,83,English exam
3141,2015,79,English exam
253,2012,94,English exam
253,2012,94,English exam
253,2015,88,English exam
909,2015,93,English exam
1752,2015,92,English exam
1752,2015,85,Math exam
3184,2014,89,English exam
3184,2015,38,Math exam
2191,2014,87,English exam
2191,2014,75,English exam
1645,2014,94,English exam
1645,2014,39,Math exam
1645,2015,65,Math exam
2517,2015,88,English exam
2517,2015,66,English exam
3492,2015,78,English exam
2138,2014,95,English exam
3206,2014,76,English exam
687,2014,98,Math exam
687,2015,98,English exam
1530,2014,44,Math exam
1530,2015,94,English exam
1530,2016,35,Math exam
2503,2015,38,English exam
2503,2015,25,English exam
2503,2016,65,English exam
2503,2016,52,English exam
31,2014,85,English exam
31,2016,73,Math exam
3810,2014,62,English exam
3810,2014,59,English exam
3810,2015,74,English exam
1691,2015,74,Math exam
1691,2016,85,English exam
3843,2016,85,English exam
226,2015,91,Math exam
226,2016,90,English exam
766,2015,70,English exam
766,2016,79,English exam
101,2014,60,English exam
101,2014,71,English exam
101,2014,57,English exam
305,2016,83,English exam
3758,2016,9,English exam
2540,2015,60,Math exam
2540,2015,55,Math exam
2540,2016,97,English exam
3035,2015,74,Math exam
3035,2016,90,English exam
4001,2016,80,English exam
881,2015,96,English exam
3972,2014,98,English exam
3972,2014,87,English exam
3972,2015,79,Math exam
3972,2015,55,Math exam
1227,2015,88,English exam
1227,2015,68,Math exam
627,2015,87,English exam
627,2015,55,Math exam
627,2015,40,Math exam
627,2016,59,Math exam
2494,2015,98,English exam
2494,2015,83,Math exam
1235,2015,89,English exam
1235,2015,74,English exam
1235,2015,50,Math exam
1235,2015,55,Math exam
1235,2016,29,Math exam
2303,2014,92,English exam
2303,2014,52,Math exam
2303,2015,78,Math exam
1168,2014,62,Math exam
1168,2015,91,English exam
1168,2015,85,Math exam
1168,2015,80,Math exam
794,2014,66,Math exam
794,2015,79,English exam
3054,2014,87,English exam
3054,2014,85,English exam
3054,2014,68,Math exam
3054,2015,74,Math exam
946,2016,88,English exam
1152,2015,67,English exam
1152,2016,77,Math exam
3509,2016,80,English exam
3583,2014,78,Math exam
3583,2015,89,English exam
3583,2015,70,Math exam
1613,2014,99,English exam
1613,2014,88,Math exam
1041,2015,87,English exam
1041,2015,58,Math exam
1041,2015,58,Math exam
1041,2016,57,Math exam
3050,2014,81,English exam
1733,2016,88,English exam
2276,2015,74,English exam
3519,2014,83,English exam
3519,2015,31,Math exam
2189,2015,83,English exam
2189,2015,63,Math exam
1768,2014,89,English exam
1768,2015,33,English exam
1364,2014,81,English exam
1364,2014,73,English exam
92,2015,94,English exam
92,2016,67,Math exam
287,2015,76,English exam
358,2015,87,English exam
2403,2014,90,Math exam
